==28806== NVPROF is profiling process 28806, command: ../../bin/CoMD-acc-v02-tesla
==28806== Profiling application: ../../bin/CoMD-acc-v02-tesla
==28806== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
282.26ms  1.3440us                    -               -         -         -         -       16B  11.353MB/s  GeForce GTX 970         1        14  [CUDA memcpy HtoD]
282.63ms  1.6960us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [25]
282.65ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [27]
282.66ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [29]
282.67ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [31]
282.68ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [33]
282.69ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [35]
282.71ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [37]
282.72ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [39]
282.72ms  1.0560us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [41]
282.73ms  1.0880us              (1 1 1)       (128 1 1)        23        0B        0B         -           -  GeForce GTX 970         1        14  __pgi_uacc_cuda_fill_35_gpu [43]
